Key,Id,Danish(da),English(en),French(fr),Spanish(es)
"Info_DiscoverUIToolkit",6153195121270784,"Oplev UI Toolkit-løsninger og -arbejdsgange i vores gratis e-bog","Discover UI Toolkit solutions land workflows in our free e-book","Découvrez les solutions et les flux de travail de UI Toolkit dans notre e-book gratuit","Descubre UI Toolkit en nuestro e-book gratuito"
"Info_Discuss",6153345629675520,"Forum","Discuss","Forum","Foro"
"Info_GetEbook",6153262058168320,"Få e-bogen","Get the e-book","Obtenez l’e-book","Obtén el e-book"
"Info_Manual",6153318945513472,"Manual","Manual","Manuel","Manual"
"Info_MoreContent",6153414135242752,"Mere UI-indhold fra Unity","More UI content from Unity","Plus de contenu UI de Unity","Más contenido de UI de Unity"
"Info_Title",6153065827655680,"Ressourcer","Resources","Ressources","Recursos"
"Inventory_Rarity_All",6309045907480576,"Alle","All","Tous","Todos"
"Inventory_Rarity_Common",6309153927585792,"Almindelig","Common","Commun","Común"
"Inventory_Rarity_Rare",6309216842145792,"Sjælden","Rare","Rare","Raro"
"Inventory_Rarity_Special",6309247292792832,"Speciel","Special","Spécial","Especial"
"Inventory_SlotType_All",6309275289772032,"Alle","All","Tous","Todos"
"Inventory_SlotType_Boots",6309398291931136,"Støvler","Boots","Bottes","Botas"
"Inventory_SlotType_Gloves",6309426343436288,"Handsker","Gloves","Gants","Guantes"
"Inventory_SlotType_Helmet",6309367530905600,"Hjelm","Helmet","Casque","Casco"
"Inventory_SlotType_Shield",6309338455990272,"Skjold","Shield","Bouclier","Escudo"
"Inventory_SlotType_Weapon",6309305736224768,"Våben","Weapon","Arme","Arma"
"Inventory_Title",6297508480278528,"Udstyrsinventar","Gear Inventory","Inventaire d’équipement","Inventario de equipo"
"Mail_Claim",6187432310464512,"Indløs","Claim","Réclamer","Reclamar"
"Mail_Deleted",6187396377862144,"Slettet","Deleted","Supprimés","Eliminados"
"Mail_Inbox",6187370209599488,"Indbakke","Inbox","Boîte","Entrada"
"Mail_NoMessage",6187479865483264,"Ingen besked valgt.","No message selected.","Aucun message sélectionné.","Ningún mensaje seleccionado."
"Menu_Char",5964384655368192,"Helte","Heroes","Héros","Héroes"
"Menu_Home",5964322869075968,"Hjem","Home","Accueil","Inicio"
"Menu_Info",5964407635959808,"Ressourcer","Resources","Ressources","Recursos"
"Menu_Mail",5964450430443520,"Post","Mail","Courrier","Correo"
"Menu_Shop",5964432071974912,"Butik","Shop","Boutique","Tienda"
"PopUp.GearEquipped",7411606907510784,"<color=#F8BB19>{0}</color> udstyret.","<color=#F8BB19>{0}</color> equipped.","<color=#F8BB19>{0}</color> équipé.","<color=#F8BB19>{0}</color> equipado."
"PopUp.InsufficientFunds",7411562842152960,"Utilstrækkelige midler til <color=#F8BB19>{0}</color>. Køb mere <color=#F8BB19>{1}</color>.","Insufficient funds for <color=#F8BB19>{0}</color>. Buy more <color=#F8BB19>{1}</color>.","Fonds insuffisants pour <color=#F8BB19>{0}</color>. Achetez plus de <color=#F8BB19>{1}</color>.","Fondos insuficientes para <color=#F8BB19>{0}</color>. Compra más <color=#F8BB19>{1}</color>."
"PopUp.InsufficientPotions",7411611013734400,"Utilstrækkelige potioner til at stige i niveau.","Insufficient potions to level up.","Potions insuffisantes pour monter de niveau.","Pociones insuficientes para subir de nivel."
"PopUp.ItemAddedToInventory",7411614566309888,"<color=#F8BB19>{0}</color> tilføjet til inventar.","<color=#F8BB19>{0}</color> added to inventory.","<color=#F8BB19>{0}</color> ajouté à l'inventaire.","<color=#F8BB19>{0}</color> añadido al inventario."
"PopUp.PotionsAddedToInventory",7411617997250560,"<color=#F8BB19>{0} {1}{2}</color> tilføjet til inventar.","<color=#F8BB19>{0} {1}{2}</color> added to inventory.","<color=#F8BB19>{0} {1}{2}</color> ajouté à l'inventaire.","<color=#F8BB19>{0} {1}{2}</color> añadido al inventario."
"PopUp.WelcomeMessage",7430279634345984,"Velkommen <color=#F8BB19>{0}</color>!","Welcome <color=#F8BB19>{0}</color>!","Bienvenue <color=#F8BB19>{0}</color>!","¡Bienvenido <color=#F8BB19>{0}</color>!"
"Rarity.Common",7052242984099840,"Almindelig","Common","Commun","Común"
"Rarity.Rare",7052367135498240,"Sjælden","Rare","Rare","Raro"
"Rarity.Special",7052321920901120,"Speciel","Special","Spécial","Especial"
"Settings_AccountLabel",2386939600896,"Konto","Account","Compte","Cuenta"
"Settings_Checkbutton",2233855893504,"Afkrydsningsfelt","Checkbox example","Case à cocher","Ejemplo de checkbox"
"Settings_FpsSlideToggle",1874093662208,"Fps-tæller","Fps counter","Compteur fps","Contador fps"
"Settings_FpsSlideToggle_Off",477945775775744,"Slukket","Off","Désactivé","Apagado"
"Settings_FpsSlideToggle_On",477196048130048,"Tændt","On","Activé","Encendido"
"Settings_FrameRateRadioButtons",1878497681408,"Målfrekvens","Target frame rate","Taux cible","Tasa de refresco"
"Settings_FrameRateRadioButtons_Max",478749429587968,"Maks","Max","Max","Máx"
"Settings_LanguageDropdown",21377310720,"Sprog","Language","Langue","Idioma"
"Settings_LanguageDropdown_Danish",482054406922240,"Dansk","Danish","Danois","Danés"
"Settings_LanguageDropdown_English",482007850147840,"Engelsk","English","Anglais","Inglés"
"Settings_LanguageDropdown_French",482163551100928,"Fransk","French","Français","Francés"
"Settings_LanguageDropdown_Spanish",482117585723392,"Spansk","Spanish","Espagnol","Español"
"Settings_MusicSlider",1830770696192,"Musikvolumen","Music volume","Volume musique","Volumen música"
"Settings_PlayerNameLabel",2252730261504,"Spillernavn","Player name","Nom joueur","Nombre de jugador"
"Settings_ResetButton1",2480212533248,"Nulstil niveau","Reset Player Level","Réinitialiser niveau","Restablecer nivel"
"Settings_ResetButton2",2581387534336,"Nulstil valuta","Reset Player Currency","Réinitialiser monnaie","Restablecer monedas"
"Settings_SFXSlider",1870314594304,"Lydvolumen","SFX volume","Volume effets","Volumen efectos"
"Settings_ThemeDropdown",1899318206464,"Tema","Theme","Thème","Tema"
"Settings_ThemeDropdown_Option1",476952254210048,"Standard","Default","Par défaut","Predeterminado"
"Settings_ThemeDropdown_Option2",476985498263552,"Halloween","Halloween","Halloween","Halloween"
"Settings_ThemeDropdown_Option3",477015936327680,"Jul","Christmas","Noël","Navidad"
"Settings_Title",5962506102104064,"Indstillinger","Settings","Paramètres","Configuración"
"Shop_BestDeal",6199149585227776,"Bedste Tilbud","Best Deal","Meilleure Offre","Mejor Oferta"
"Shop_Free",6192167281221632,"Gratis","Free","Gratuit","Gratis"
"Shop_GemsLarge",6199952576339968,"En stor bunke ædelstene","A big pile of Gems","Un gros tas de gemmes","Un gran montón de gemas"
"Shop_GemsMedium",6199927095943168,"En pose fuld af ædelstene","A bag full of Gems","Un sac plein de gemmes","Una bolsa llena de gemas"
"Shop_GemsSmall",6199884184018944,"Et par ædelstene","A couple of Gems","Quelques gemmes","Un par de gemas"
"Shop_GoldExtraLarge",6199491098042368,"En kiste med guldmønter","A chest of Gold Coins","Un coffre rempli de pièces d’or","Un cofre lleno de monedas de oro"
"Shop_GoldLarge",6199438241423360,"En pose fuld af guldmønter","A bag full of Gold Coins","Un sac plein de pièces d’or","Una bolsa llena de monedas de oro"
"Shop_GoldMedium",6199404519219200,"En stor bunke guldmønter","A big pile of Gold Coins","Un gros tas de pièces d’or","Una gran pila de monedas de oro"
"Shop_GoldSmall",6199273661128704,"Et par guldmønter","A couple of Gold Coins","Quelques pièces d’or","Un par de monedas de oro"
"Shop_HealingPotions",6200181723750400,"Helbredelsesdrikke","Healing Potions","Potions de Soin","Pociones de Curación"
"Shop_MostPurchased",6199112465637376,"Mest Købt","Most Purchased","Le Plus Acheté","Más Comprado"
"Shop_OffDiscount",6199224092844032,"Rabat","Off","de Réduction","de Descuento"
"Shop_PowerPotions",6199980577513472,"Kraftdrikke","Power Potions","Potions de Puissance","Pociones de Poder"
"Skill.DamageFormat",7359834620944384,"Giver <color=#775027>{0} skadepoint</color> til en fjende hvert <color=#775027>{1} sekund</color>","Deals <color=#775027>{0} Damage</color> points to an enemy every <color=#775027>{1} seconds</color>","Inflige <color=#775027>{0} points de dégâts</color> à un ennemi toutes les <color=#775027>{1} secondes</color>","Inflige <color=#775027>{0} puntos de daño</color> a un enemigo cada <color=#775027>{1} segundos</color>"
"Skill.NextTierLevelFormat",7314598947446784,"Næste rang ved <color=#775027>niveau {0}</color>","Next tier at <color=#775027>Level {0}</color>","Rang suivant au <color=#775027>niveau {0}</color>","Siguiente rango en <color=#775027>nivel {0}</color>"
"Skill.TierFormat",7314553179201536,"<color=#775027>Rang {0}</color>","<color=#775027>Tier {0}</color>","<color=#775027>Rang {0}</color>","<color=#775027>Rango {0}</color>"
"SkillCategory.Advanced",7241382312796160,"Avanceret angreb","Advanced attack","Attaque avancée","Ataque avanzado"
"SkillCategory.Basic",7241299408183296,"Grundlæggende angreb","Basic attack","Attaque de base","Ataque básico"
"SkillCategory.Intermediate",7241336636825600,"Mellem angreb","Intermediate attack","Attaque intermédiaire","Ataque intermedio"
"SkillName.BarbarianSkill1",7280168564416512,"Øksehug","Axe Strike","Coup de Hache","Golpe de Hacha"
"SkillName.BarbarianSkill2",7280171181662208,"Skjoldknuser","Shield Breaker","Brise-Bouclier","Rompeescudos"
"SkillName.BarbarianSkill3",7280172997795840,"Bersærkerrasen","Beserker Rage","Rage du Berserker","Furia de Berserker"
"SkillName.PaladinSkill1",7280174600019968,"Sværdhug","Sword Slash","Coup d’Épée","Corte de Espada"
"SkillName.PaladinSkill2",7280176390987776,"Tilkald Elementar","Summon Elemental","Invocation d’Élémentaire","Invocar Elemental"
"SkillName.PaladinSkill3",7280177808662528,"Kraftens Hænder","Hands of Power","Mains de Puissance","Manos de Poder"
"SkillName.WizardSkill1",7280179318611968,"Magisk Lyn","Magic Bolt","Éclair Magique","Rayo Mágico"
"SkillName.WizardSkill2",7280180828561408,"Ildkugle","Fireball","Boule de Feu","Bola de Fuego"
"SkillName.WizardSkill3",7280182250430464,"Tilintetgørelsessfære","Sphere of Annihilation","Sphère d’Annihilation","Esfera de Aniquilación"
